esp32_sensor1,"-1.36,0.40"
esp32_sensor1,"-1.34,0.41"
esp32_sensor1,"-1.30,0.36"
esp32_sensor1,"-1.37,0.43"
esp32_sensor1,"-1.35,0.30"
esp32_sensor1,"-1.35,0.36"
esp32_sensor1,"-1.29,0.37"
esp32_sensor1,"-1.36,0.29"
esp32_sensor1,"-1.43,0.34"
esp32_sensor1,"-1.39,0.32"
esp32_sensor1,"-1.34,0.36"
esp32_sensor1,"-1.30,0.38"
esp32_sensor1,"-1.35,0.33"
esp32_sensor1,"-1.36,0.29"
esp32_sensor1,"-1.43,0.37"
esp32_sensor1,"-1.37,0.37"
esp32_sensor1,"-1.30,0.33"
esp32_sensor1,"-1.28,0.33"
esp32_sensor1,"-1.36,0.32"
esp32_sensor1,"-1.40,0.34"
esp32_sensor1,"-1.25,0.36"
esp32_sensor1,"-1.35,0.33"
esp32_sensor1,"-1.37,0.32"
esp32_sensor1,"-1.37,0.38"
esp32_sensor1,"-1.35,0.36"
esp32_sensor1,"-1.33,0.33"
esp32_sensor1,"-1.30,0.43"
esp32_sensor1,"-1.40,0.34"
esp32_sensor1,"-1.33,0.32"
esp32_sensor1,"-1.37,0.38"
esp32_sensor1,"-1.33,0.43"
esp32_sensor1,"-1.36,0.36"
esp32_sensor1,"-1.33,0.32"
esp32_sensor1,"-1.32,0.41"
esp32_sensor1,"-1.33,0.32"
esp32_sensor1,"-1.36,0.34"
esp32_sensor1,"-1.34,0.36"
esp32_sensor1,"-1.29,0.32"
esp32_sensor1,"-1.25,0.41"
esp32_sensor1,"-1.34,0.36"
esp32_sensor1,"-1.37,0.36"
esp32_sensor1,"-1.40,0.36"
esp32_sensor1,"-1.36,0.34"
esp32_sensor1,"-1.31,0.45"
esp32_sensor1,"-1.40,0.37"
esp32_sensor1,"-1.34,0.32"
esp32_sensor1,"-1.32,0.38"
esp32_sensor1,"-1.32,0.37"
esp32_sensor1,"-1.35,0.34"
esp32_sensor1,"-1.35,0.37"
esp32_sensor1,"-1.40,0.36"
esp32_sensor1,"-1.32,0.30"
esp32_sensor1,"-1.29,0.38"
esp32_sensor1,"-1.39,0.44"
esp32_sensor1,"-1.34,0.37"
esp32_sensor1,"-1.33,0.36"
